Observation	Name	InGameCost	ConvertedManaCost	Rarity	RarityConversion	ResaleHigh	ResaleMid	ResaleLow
1	 Academy Drake	2U	3	C	1	0.95	0.13	0.01
2	 Academy Journeymage	4U	5	C	1	1.99	0.14	0.01
3	 Adamant Will	1W	2	C	1	8.00	0.13	0.01
4	 Adeliz, the Cinder Wind	1UR	3	U	2	3.77	0.41	0.15
5	 Adventurous Impulse	G	1	C	1	1.90	0.19	0.03
6	 Aesthir Glider	3	3	C	1	0.95	0.12	0.01
7	 Amaranthine Wall	4	4	U	2	1.90	0.21	0.02
8	 Ancient Animus	1G	2	C	1	0.95	0.14	0.01
9	 Arbor Armament	G	1	C	1	0.95	0.13	0.01
10	 Arcane Flight	U	1	C	1	0.95	0.14	0.01
11	 Artificer's Assistant	U	1	C	1	1.20	0.15	0.01
12	 Arvad the Cursed	3WB	5	U	2	2.77	0.25	0.04
13	 Aryel, Knight of Windgrace	2WB	4	R	3	7.00	0.46	0.15
14	 Aven Sentry	3W	4	C	1	0.95	0.12	0.01
15	 Baird, Steward of Argive	2WW	4	U	2	4.77	0.25	0.05
16	 Baloth Gorger	2GG	4	C	1	1.20	0.14	0.01
17	 Befuddle	2U	3	C	1	1.20	0.13	0.01
18	 Benalish Honor Guard	1W	2	C	1	0.95	0.13	0.01
19	 Benalish Marshal	WWW	3	R	3	7.00	1.50	0.50
20	 Blackblade Reforged	2	2	R	3	4.77	0.99	0.44
21	 Blessed Light	4W	5	C	1	0.95	0.13	0.01
22	 Blessing of Belzenlok	B	1	C	1	0.95	0.13	0.01
23	 Blink of an Eye	1U	2	C	1	1.90	0.18	0.01
24	 Bloodstone Goblin	1R	2	C	1	1.20	0.14	0.01
25	 Bloodtallow Candle	1	1	C	1	0.95	0.12	0.01
26	 Board the Weatherlight	1W	3	U	2	1.99	0.20	0.02
27	 Broken Bond	1G	5	C	1	1.90	0.17	0.03
28	 Cabal Evangel	1B	2	C	1	0.95	0.12	0.01
29	 Cabal Paladin	3B	3	C	1	0.95	0.14	0.01
30	 Cabal Stronghold		0	R	3	6.99	1.00	0.49
31	 Caligo Skin-Witch	1B	3	C	1	0.95	0.13	0.01
32	 Call the Cavalry	3W	4	C	1	0.95	0.14	0.01
33	 Cast Down	1B	2	U	2	4.99	1.00	0.45
34	 Chainer's Torment	3B	4	U	2	1.94	0.23	0.03
35	 Champion of the Flame	1R	4	U	2	2.00	0.24	0.04
36	 Chandra's Outburst	3RR	5	R	3	2.00	0.41	0.10
37	 Chandra, Bold Pyromancer	4RR	5	M	4	13.99	4.35	1.55
38	 Charge	W	1	C	1	2.28	0.14	0.01
39	 Clifftop Retreat		0	R	3	10.00	2.91	1.55
40	 Cloudreader Sphinx	4U	5	C	1	0.95	0.13	0.01
41	 Cold-Water Snapper	5U	6	C	1	0.95	0.14	0.01
42	 Corrosive Ooze	1G	2	C	1	1.20	0.15	0.01
43	 Curator's Ward	2U	3	U	2	1.94	0.21	0.03
44	 D'Avenant Trapper	2W	3	C	1	0.95	0.13	0.01
45	 Damping Sphere	2	2	U	2	7.77	1.50	0.75
